Number of Positve Word,Number of Negative Word,Frequency of Positive Words,Frequency of Negative Words,Sentiment Value,Number of Stop Words,Number of Capitalization,Average Word Length,Max Word Length,Is maximum word positive?,Sum Consonant Character Position,Sum Vowel Character Position,Total Number of Words,SENTIMENT CLASS
0,3,0,25,-30,1,1,5,11,0,181,87,12,0
0,1,0,5,-10,12,1,3,10,0,148,88,20,0
1,4,3.125,12.5,-30,7,1,4,12,0,366,220,32,0
0,0,0,0,0,5,1,3,8,0,72,34,9,0
1,0,4.545454545,0,10,9,2,3,7,0,155,89,22,1
2,2,9.523809524,9.523809524,0,4,3,3,9,0,176,88,21,0
0,1,0,25,-10,0,1,2,6,0,27,15,4,0
2,0,12.5,0,20,3,1,3,8,0,112,67,16,1
0,0,0,0,0,0,1,3,11,0,43,30,4,0
1,0,9.090909091,0,10,3,3,3,7,0,98,55,11,1
1,0,14.28571429,0,10,3,1,3,8,0,52,35,7,1
2,0,12.5,0,20,4,2,3,9,0,105,76,16,1
2,0,16.66666667,0,20,6,11,3,9,0,83,62,12,1
1,0,20,0,10,3,4,1,4,0,12,10,5,1
1,0,5.882352941,0,10,9,1,4,10,0,164,74,17,1
1,0,4.761904762,0,10,8,1,3,7,0,125,82,21,0
1,1,4.545454545,4.545454545,0,5,6,3,8,0,157,114,22,1
1,0,4.166666667,0,10,10,1,5,15,0,406,187,24,1
2,0,11.11111111,0,20,5,1,4,13,0,193,127,18,1
0,0,0,0,0,9,1,3,11,0,182,87,18,1
1,0,6.25,0,10,8,1,4,9,0,177,81,16,1
1,0,5.263157895,0,10,9,1,3,7,0,145,64,19,1
1,0,5.882352941,0,10,7,1,3,8,0,116,64,17,1
0,0,0,0,0,4,1,4,11,0,146,99,12,1
2,0,9.090909091,0,20,5,1,4,14,0,272,182,22,1
0,0,0,0,0,3,1,4,9,0,93,33,8,0
1,0,9.090909091,0,10,3,1,3,8,0,68,32,11,0
1,0,8.333333333,0,10,5,3,3,6,0,58,41,12,1
2,0,40,0,20,1,1,3,8,0,46,24,5,1
0,1,0,16.66666667,-10,1,1,2,6,0,20,20,6,1
0,0,0,0,0,1,1,4,10,0,159,108,13,1
0,1,0,14.28571429,-10,5,1,3,5,0,35,28,7,1
1,1,9.090909091,9.090909091,0,6,1,3,8,0,82,35,11,1
1,0,11.11111111,0,10,3,1,3,8,0,74,43,9,1
0,1,0,16.66666667,-10,1,1,3,8,0,48,25,6,0
1,0,8.333333333,0,10,5,3,2,6,0,46,38,12,1
0,0,0,0,0,2,1,2,5,0,24,11,4,1
2,0,22.22222222,0,20,0,1,2,5,0,33,20,9,1
